r[Mpc/h] n_pair v12_tot[km/s] error[km/s] v12_los[km/s] error[km/s] v12_per[km/s] error[km/s] d12_tot[km/s] error[km/s] d12_los[km/s] error[km/s] d12_per[km/s] error[km/s]
0.5315 2867 1008.79 10.7181 -353.569 14.0699 641.152 9.21351 1160.61 15.6694 832.206 14.4093 808.982 14.1079
0.600579 3061 1011.78 11.0085 -386.11 13.1602 650.473 9.7724 1180.96 18.7041 824.148 13.124 845.837 19.1442
0.678636 3450 1026.16 10.6595 -410.654 12.6363 657.115 9.22646 1202.09 16.1052 848.245 14.3717 851.757 14.5624
0.766837 3912 977.866 9.17327 -441.78 10.9316 613.31 7.93973 1133.76 13.1171 814.035 10.8218 789.151 12.495
0.866503 4338 953.856 9.26624 -465.42 10.1752 581.183 8.01671 1132.39 15.6353 815.935 11.7097 785.217 15.7983
0.979121 5107 920.622 8.35063 -483.427 8.79182 560.987 7.1422 1097.12 13.014 792.75 10.6433 758.432 12.7448
1.10638 5899 879.407 7.94986 -507.085 7.8081 523.633 6.57746 1070.6 13.6016 785.351 10.6456 727.598 12.9023
1.25017 6875 836.937 7.26754 -497.966 6.82823 491.862 6.06795 1031.3 12.6734 754 9.05836 703.609 13.2865
1.41266 8585 781.314 6.23417 -495.789 5.7187 455.371 4.94791 971.651 10.9947 725.649 9.0965 646.173 10.1899
1.59626 10369 740.389 5.61889 -475.507 5.02868 434.632 4.37342 935.706 10.2821 698.795 8.91753 622.279 8.81443
1.80372 12677 709.042 4.93628 -466.223 4.38459 416.967 3.73349 900.911 9.05277 679.025 7.66495 592.085 7.87875
2.03815 15936 674.503 4.32595 -440.848 3.75652 401.726 3.29071 867.858 7.83179 647.477 6.46727 577.885 7.27879
2.30305 19555 643.138 3.87255 -415.953 3.37441 386.506 2.87661 840.765 7.46563 629.033 6.27488 557.855 6.44529
2.60237 25124 615.888 3.29486 -386.839 2.9169 376.804 2.41623 807.506 6.19458 602.832 5.33775 537.27 5.20016
2.9406 31422 597.035 2.81193 -358.718 2.55693 371.488 2.0557 777.755 5.03199 578.025 4.46932 520.375 4.15526
3.32279 40089 586.279 2.48177 -343.124 2.26107 369.317 1.81152 768.53 4.51033 568.056 4.0518 517.64 3.7364
3.75465 50325 572.024 2.12773 -320.38 1.97914 365.42 1.55539 745.014 3.872 547.508 3.5711 505.253 3.09691
4.24264 63984 578.61 1.91481 -311.892 1.8045 373.266 1.39457 754.577 3.36403 552.831 3.10743 513.58 2.66283
4.79405 81556 574.02 1.67141 -295.551 1.59365 374.776 1.22506 746.548 2.97872 542.66 2.75321 512.694 2.31281
5.41713 103311 578.442 1.48376 -290.373 1.41741 381.477 1.0984 749.693 2.65257 540.252 2.45203 519.776 2.1026
6.12119 132896 580.194 1.29344 -282.863 1.25063 386.033 0.958394 747.635 2.29806 536.535 2.13927 520.662 1.83257
6.91676 171422 580.469 1.10998 -274.25 1.08818 389.316 0.831014 740.369 1.93821 527.445 1.73135 519.565 1.59836
7.81573 222374 580.022 0.960427 -265.064 0.94802 394.059 0.722714 735.899 1.65032 519.726 1.50127 520.991 1.33651
8.83153 292415 585.143 0.82732 -259.202 0.824903 401.22 0.628201 736.572 1.38917 515.911 1.28554 525.714 1.11035
9.97936 386601 588.913 0.712454 -252.121 0.717566 407.152 0.544583 736.922 1.16762 512.471 1.07522 529.554 0.959163
11.2764 515562 592.355 0.609463 -243.425 0.621391 412.762 0.469584 736.47 0.98364 508.26 0.906538 532.972 0.815808
12.742 693088 594.084 0.516818 -232.319 0.534209 417.668 0.401718 733.526 0.824687 501.762 0.755851 535.066 0.687
14.398 939157 597.234 0.437254 -222.548 0.458048 423.226 0.343101 732.289 0.68685 496.559 0.630499 538.216 0.575825
16.2693 1283672 600.475 0.367283 -212.278 0.392405 427.77 0.290088 730.571 0.570929 492.67 0.527913 539.453 0.479314
18.3838 1758448 604.012 0.30772 -198.772 0.33579 433.171 0.245428 728.931 0.470496 487.631 0.432729 541.809 0.398185
20.7732 2437071 608.423 0.256096 -185.046 0.285662 438.876 0.206864 728.021 0.382069 482.818 0.351032 544.886 0.328172
23.473 3397404 614.076 0.214083 -170.797 0.243334 445.597 0.174882 729.93 0.318475 479.934 0.291173 549.965 0.276095
26.5238 4767643 620.657 0.178107 -155.709 0.206691 452.689 0.147412 732.43 0.26116 477.414 0.237549 555.454 0.229659
29.9711 6735917 628.927 0.14817 -141.926 0.175306 460.914 0.124158 737.178 0.215241 476.606 0.194766 562.386 0.191067
33.8664 9549725 638.106 0.12332 -128.117 0.148813 469.402 0.104445 743.242 0.176912 477.383 0.159423 569.662 0.158833
