(0)r[Mpc/h] (1)n_pair (2)v12_tot[km/s] (3)error[km/s] (4)v12_los[km/s] (5)error[km/s] (6)v12_per[km/s] (7)error[km/s] (8)d12_tot[km/s] (9)error[km/s] (10)d12_los[km/s] (11)error[km/s] (12)d12_per[km/s] (13)error[km/s]
0.521847 796391 1314.14 1.02568 -63.5426 1.08265 1004.99 0.880384 1601.49 1.38872 968.253 1.20576 1275.64 1.26711
0.568447 886474 1319.23 0.975499 -69.5818 1.0303 1008.46 0.837049 1607.47 1.32277 972.547 1.14518 1279.88 1.20619
0.619208 983730 1324.85 0.928502 -76.6137 0.982837 1011.74 0.796178 1613.48 1.2535 977.815 1.08807 1283.43 1.14342
0.674502 1084690 1329.46 0.887012 -84.7672 0.940036 1014.11 0.760156 1618.92 1.1985 982.696 1.04173 1286.54 1.09088
0.734734 1196376 1333.55 0.848901 -94.0633 0.901591 1015.23 0.724777 1624.96 1.14819 990.627 1.00526 1288.08 1.03981
0.800344 1312248 1335.4 0.812008 -105.221 0.863844 1014.75 0.692072 1627.43 1.0988 995.141 0.963929 1287.73 0.993024
0.871813 1431833 1334.77 0.778705 -116.216 0.827862 1012.93 0.662796 1627.83 1.05343 997.407 0.926081 1286.48 0.951403
0.949664 1560873 1330.49 0.745728 -128.879 0.792277 1007.77 0.633419 1624.26 1.00836 998.185 0.887833 1281.35 0.909129
1.03447 1694640 1326.42 0.716886 -143.304 0.760827 1002.26 0.606962 1621.83 0.966818 1000.75 0.854499 1276.26 0.870213
1.12684 1834278 1317.6 0.687127 -158.396 0.728036 993.599 0.580235 1613.11 0.92598 998.661 0.820824 1266.8 0.831743
1.22747 1979857 1305.48 0.658947 -175.696 0.696862 981.212 0.554547 1601.23 0.88632 996.153 0.784811 1253.65 0.795169
1.33708 2134749 1289.59 0.63259 -194.245 0.665613 966.32 0.530167 1586.61 0.8536 991.722 0.758435 1238.47 0.763312
1.45648 2297903 1269.84 0.607534 -213.837 0.63441 948.546 0.50685 1568.64 0.821958 985.179 0.731089 1220.68 0.73326
1.58654 2477843 1246.43 0.581462 -234.34 0.603607 926.6 0.481745 1546.4 0.792309 978.62 0.706121 1197.35 0.702506
1.72821 2679932 1219.06 0.555437 -255.332 0.570326 902.824 0.457488 1520.82 0.761427 967.936 0.67837 1173.03 0.672974
1.88254 2920031 1187.8 0.526751 -278.648 0.534309 876.088 0.430941 1490.33 0.728151 954.606 0.648316 1144.47 0.641494
2.05064 3198354 1152.4 0.496171 -297.773 0.497524 845.964 0.402986 1454.45 0.690161 938.275 0.613913 1111.33 0.604961
2.23376 3530593 1113.76 0.464053 -315.009 0.459396 814.341 0.373779 1414.48 0.653825 918.881 0.584553 1075.37 0.569237
2.43323 3940837 1073.36 0.428666 -329.263 0.419533 782.032 0.342634 1369.76 0.609454 895.563 0.547881 1036.45 0.525114
